Entry,Entryname,Status,Proteinnames,Genenames,Organism,Length,ECnumber,Geneontology,Crossreference
A0A0S2Z5H7,A0A0S2Z5H7_HUMAN,unreviewed,COP9 constitutive photomorphogenic-like protein subunit 4 isoform 1 (Testis tissue sperm-binding protein Li 42a) (Fragment),Homo sapiens (Human),406,COPS4,,cell junction [GO:0030054]; COP9 signalosome [GO:0008180]; nuclear speck [GO:0016607],IPR037754;IPR041406;IPR000717;IPR040134;IPR036388;IPR036390;
A0A0A8KWK3,A0A0A8KWK3_HUMAN,unreviewed,"Transforming growth factor, beta receptor III (Transforming growth factor, beta receptor III (Betaglycan, 300kDa), isoform CRA_b)",Homo sapiens (Human),850,TGFBR3 hCG_21711,,extracellular region [GO:0005576]; integral component of membrane [GO:0016021],IPR001507;IPR017977;
A0A1B0GUG4,A0A1B0GUG4_HUMAN,unreviewed,Protein FAM236C (Protein FAM236D),Homo sapiens (Human),75,FAM236C FAM236D,,,
A0A097Q5Q6,A0A097Q5Q6_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
B9EES4,B9EES4_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2),Homo sapiens (Human),460,NADH4,7.1.1.2,"integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]",IPR000260;IPR010227;IPR003918;IPR001750;
A0A5C2FUQ6,A0A5C2FUQ6_HUMAN,unreviewed,IGL c324_light_IGKV3-15_IGKJ1 (Fragment),Homo sapiens (Human),110,,,,
F2Z302,F2Z302_HUMAN,unreviewed,Sperm-associated antigen 8,Homo sapiens (Human),69,SPAG8,,,
J3KNN3,J3KNN3_HUMAN,unreviewed,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Homo sapiens (Human),410,PHKG2,,cytosol [GO:0005829]; phosphorylase kinase complex [GO:0005964]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; phosphorylase kinase activity [GO:0004689]; glycogen biosynthetic process [GO:0005978],IPR011009;IPR002291;IPR000719;IPR017441;IPR008271;
A1Z5D0,A1Z5D0_HUMAN,unreviewed,Cytochrome b,Homo sapiens (Human),380,CYTB,,"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]",IPR005798;IPR036150;IPR005797;IPR027387;IPR030689;IPR016174;
H3BPC0,H3BPC0_HUMAN,unreviewed,Adhesion G-protein-coupled receptor G1,Homo sapiens (Human),97,ADGRG1,,,
A0A5C2GSB8,A0A5C2GSB8_HUMAN,unreviewed,IG c271_light_IGLV1-40_IGLJ2 (Fragment),Homo sapiens (Human),111,,,,
A0A5C2FY46,A0A5C2FY46_HUMAN,unreviewed,IGL c1564_light_IGKV4-1_IGKJ4 (Fragment),Homo sapiens (Human),113,,,,
H0YCC5,H0YCC5_HUMAN,unreviewed,V-type proton ATPase 21 kDa proteolipid subunit (Fragment),Homo sapiens (Human),88,ATP6V0B,,,
A0A2X0SR54,A0A2X0SR54_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),362,HLA-B,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
Q14WT3,Q14WT3_HUMAN,unreviewed,NADH dehydrogenase subunit 2 (Fragment),Homo sapiens (Human),94,,,integral component of membrane [GO:0016021]; mitochondrion [GO:0005739],IPR001750;
A0A024RBT9,A0A024RBT9_HUMAN,unreviewed,"HCG1981394, isoform CRA_b",Homo sapiens (Human),373,hCG_1981394,,O-methyltransferase activity [GO:0008171],IPR031725;IPR016461;IPR001077;IPR029063;IPR036388;IPR036390;
A0A383S3W9,A0A383S3W9_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),366,HLA-C,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
H9T6C8,H9T6C8_HUMAN,unreviewed,ATP synthase protein 8,Homo sapiens (Human),68,ATP8,,"integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",IPR039017;IPR001421;
A0A5C2GQ80,A0A5C2GQ80_HUMAN,unreviewed,IG c1565_heavy_IGHV1-18_IGHD3-3_IGHJ4 (Fragment),Homo sapiens (Human),128,,,,
K7ENV6,K7ENV6_HUMAN,unreviewed,Zinc finger protein 155 (Fragment),Homo sapiens (Human),150,ZNF155,,"nucleic acid binding [GO:0003676]; regulation of transcription, DNA-templated [GO:0006355]",IPR001909;IPR036051;
Q5VVR7,Q5VVR7_HUMAN,unreviewed,TCF7L2 isoform pFC8A_TCF7L2_H7_ex1-11-13-13b (Transcription factor 7-like 2),Homo sapiens (Human),455,TCF7L2,,nucleus [GO:0005634]; DNA binding [GO:0003677]; Wnt signaling pathway [GO:0016055],IPR027397;IPR013558;IPR009071;IPR036910;IPR024940;
A0A5C2GRF9,A0A5C2GRF9_HUMAN,unreviewed,IG c45_light_IGLV1-47_IGLJ3 (Fragment),Homo sapiens (Human),108,,,,
Q4W251,Q4W251_HUMAN,unreviewed,Glutathione S-transferase theta 1 (Fragment),Homo sapiens (Human),66,GSTT1,,transferase activity [GO:0016740],IPR036249;
A0A5C2G6H8,A0A5C2G6H8_HUMAN,unreviewed,IGH c267_heavy__IGHV4-39_IGHD3-22_IGHJ4 (Fragment),Homo sapiens (Human),128,,,,
A0A0C4DGZ5,A0A0C4DGZ5_HUMAN,unreviewed,Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase),Homo sapiens (Human),388,YARS1,6.1.1.1,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; tyrosine-tRNA ligase activity [GO:0004831]; tyrosyl-tRNA aminoacylation [GO:0006437],IPR002305;IPR014729;IPR002307;IPR023617;
Q9NPH1,Q9NPH1_HUMAN,unreviewed,T-cell leukemia/lymphoma 6 ORF105,Homo sapiens (Human),105,TCL6f4 TCL6c1 TCL6f3,,,
A0A4Y6A9N3,A0A4Y6A9N3_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),Homo sapiens (Human),603,ND5,7.1.1.2,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137],IPR010934;IPR003945;IPR001750;IPR001516;
M0QZU8,M0QZU8_HUMAN,unreviewed,"Troponin T, slow skeletal muscle (Fragment)",Homo sapiens (Human),203,TNNT1,,troponin complex [GO:0005861]; regulation of muscle contraction [GO:0006937],IPR027707;IPR001978;IPR038077;
Q4GLZ5,Q4GLZ5_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2),Homo sapiens (Human),174,NADH6 ND6,7.1.1.2,integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137],IPR001457;
A0A5C2GGY4,A0A5C2GGY4_HUMAN,unreviewed,IG c234_light_IGKV3-20_IGKJ1 (Fragment),Homo sapiens (Human),107,,,,
A3RMP9,A3RMP9_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
A6NNT0,A6NNT0_HUMAN,unreviewed,Glutathione S-transferase (EC 2.5.1.18),Homo sapiens (Human),202,GSTM4,2.5.1.18,cytosol [GO:0005829]; intercellular bridge [GO:0045171]; glutathione transferase activity [GO:0004364],IPR010987;IPR036282;IPR040079;IPR004045;IPR004046;IPR003081;IPR036249;
Q7Z2R6,Q7Z2R6_HUMAN,unreviewed,MSTP132,Homo sapiens (Human),61,MST132,,,
E2J0Z7,E2J0Z7_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),Homo sapiens (Human),603,ND5,7.1.1.2,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773],IPR010934;IPR003945;IPR001750;IPR001516;
A0A5C2G757,A0A5C2G757_HUMAN,unreviewed,IGH c432_heavy__IGHV4-39_IGHD1-26_IGHJ4 (Fragment),Homo sapiens (Human),130,,,,
Q4GIJ5,Q4GIJ5_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COI COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
A0A087WSZ7,A0A087WSZ7_HUMAN,unreviewed,Phosphodiesterase (EC 3.1.4.-),Homo sapiens (Human),678,PDE4D,3.1.4.-,"cytosol [GO:0005829]; plasma membrane [GO:0005886]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; signal transduction [GO:0007165]",IPR003607;IPR040844;IPR023088;IPR002073;IPR036971;IPR023174;
A0A5C2G802,A0A5C2G802_HUMAN,unreviewed,IGL c497_light_IGLV2-14_IGLJ2 (Fragment),Homo sapiens (Human),110,,,,
Q9UEG0,Q9UEG0_HUMAN,unreviewed,Coagulation factor XI (Fragment),Homo sapiens (Human),126,F11,,extracellular region [GO:0005576]; proteolysis [GO:0006508],IPR000177;IPR003609;
A0A5C2GLS9,A0A5C2GLS9_HUMAN,unreviewed,IG c138_heavy_IGHV5-51_IGHD6-13_IGHJ3 (Fragment),Homo sapiens (Human),124,,,,
A0A5C2FWP7,A0A5C2FWP7_HUMAN,unreviewed,IGL c606_light_IGKV1-12_IGKJ1 (Fragment),Homo sapiens (Human),108,,,,
A9Q9L1,A9Q9L1_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),89,HLA-A,,,IPR011161;IPR037055;IPR011162;
A0A024R2P7,A0A024R2P7_HUMAN,unreviewed,"Exosome component 7, isoform CRA_a",Homo sapiens (Human),291,EXOSC7 hCG_1641243,,,IPR001247;IPR015847;IPR036345;IPR027408;IPR020568;
A0A590UJV8,A0A590UJV8_HUMAN,unreviewed,"NAD(P) transhydrogenase, mitochondrial",Homo sapiens (Human),56,NNT,,,
Q5SAK6,Q5SAK6_HUMAN,unreviewed,Cytochrome b,Homo sapiens (Human),378,CYTB,,"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]",IPR005798;IPR036150;IPR005797;IPR027387;IPR030689;IPR016174;
A0A5C2GBN5,A0A5C2GBN5_HUMAN,unreviewed,IGL c53_light_IGKV1D-13_IGKJ2 (Fragment),Homo sapiens (Human),107,,,,
A0A087WVC4,A0A087WVC4_HUMAN,unreviewed,cAMP-dependent protein kinase catalytic subunit beta,Homo sapiens (Human),338,PRKACB,,cytosol [GO:0005829]; intercellular bridge [GO:0045171]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein kinase A regulatory subunit binding [GO:0034237]; G protein-coupled receptor signaling pathway [GO:0007186],IPR000961;IPR011009;IPR039083;IPR000719;IPR017441;IPR008271;
Q59EX4,Q59EX4_HUMAN,unreviewed,Phospholipid-transporting ATPase (EC 7.6.2.1) (Fragment),Homo sapiens (Human),1177,,7.6.2.1,integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid transport [GO:0015914],IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;
Q2VF39,Q2VF39_HUMAN,unreviewed,Tafazzin family protein (Fragment),Homo sapiens (Human),79,TAZ,,"transferase activity, transferring acyl groups [GO:0016746]; phospholipid metabolic process [GO:0006644]",IPR002123;IPR000872;
B4DHG8,B4DHG8_HUMAN,unreviewed,Kinesin-like protein,Homo sapiens (Human),726,,,microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018],IPR027640;IPR019821;IPR001752;IPR036961;IPR027417;
A0A5C2G0Q7,A0A5C2G0Q7_HUMAN,unreviewed,IGL c2868_light_IGKV3D-20_IGKJ5 (Fragment),Homo sapiens (Human),108,,,,
A0A0A7C8A4,A0A0A7C8A4_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),87,HLA-DPB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
D3DPS3,D3DPS3_HUMAN,unreviewed,"Arginine/proline rich coiled-coil 1, isoform CRA_b",Homo sapiens (Human),840,RPRC1 hCG_38280,,microtubule cytoskeleton [GO:0015630]; microtubule cytoskeleton organization [GO:0000226],IPR008604;
A0A5C2GF70,A0A5C2GF70_HUMAN,unreviewed,IG c205_heavy_IGHV3-53_IGHD6-19_IGHJ6 (Fragment),Homo sapiens (Human),126,,,,
A0A5C2FY06,A0A5C2FY06_HUMAN,unreviewed,IGL c147_light_IGKV3-20_IGKJ2 (Fragment),Homo sapiens (Human),108,,,,
Q5SB14,Q5SB14_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),Homo sapiens (Human),603,ND5 NADH5,7.1.1.2,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773],IPR010934;IPR003945;IPR001750;IPR001516;
B7Z4X8,B7Z4X8_HUMAN,unreviewed,"cDNA FLJ57032, moderately similar to Tubulin-specific chaperone E",Homo sapiens (Human),198,,,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],IPR032675;IPR001931;IPR038579;
B7Z6R2,B7Z6R2_HUMAN,unreviewed,"cDNA FLJ53592, highly similar to Inhibitor of growth protein 5",Homo sapiens (Human),206,,,MOZ/MORF histone acetyltransferase complex [GO:0070776]; histone acetylation [GO:0016573]; negative regulation of cell population proliferation [GO:0008285],IPR028638;IPR028651;IPR024610;
A0A0G2JMZ8,A0A0G2JMZ8_HUMAN,unreviewed,Occludin,Homo sapiens (Human),522,OCLN,,bicellular tight junction [GO:0005923]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bicellular tight junction assembly [GO:0070830],IPR031176;IPR008253;IPR036259;IPR002958;IPR010844;
A0A0U5PU33,A0A0U5PU33_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),365,HLA-A,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
H0Y8H0,H0Y8H0_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DDX60-like (Fragment),Homo sapiens (Human),868,DDX60L,,ATP binding [GO:0005524]; nucleic acid binding [GO:0003676],IPR011545;IPR014001;IPR027417;
F8VNX9,F8VNX9_HUMAN,unreviewed,Rab-3A-interacting protein (Fragment),Homo sapiens (Human),165,RAB3IP,,guanyl-nucleotide exchange factor activity [GO:0005085],IPR040351;
A0A5C2GWF1,A0A5C2GWF1_HUMAN,unreviewed,IG c887_heavy_IGHV4-34_IGHD4-17_IGHJ4 (Fragment),Homo sapiens (Human),120,,,,
Q6ZW14,Q6ZW14_HUMAN,unreviewed,"cDNA FLJ41800 fis, clone NHNPC2001816",Homo sapiens (Human),122,,,,
A0A583ZBX5,A0A583ZBX5_HUMAN,unreviewed,HLA-Cw3 (Fragment),Homo sapiens (Human),206,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
E1B2G8,E1B2G8_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2),Homo sapiens (Human),347,ND2,7.1.1.2,"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]",IPR010933;IPR003917;IPR001750;
K7EPJ5,K7EPJ5_HUMAN,unreviewed,E3 ubiquitin-protein ligase MGRN1 (Fragment),Homo sapiens (Human),594,MGRN1,,intracellular membrane-bounded organelle [GO:0043231],IPR001841;IPR013083;
A0A1B1FKH1,A0A1B1FKH1_HUMAN,unreviewed,Solute carrier family 40 protein (Fragment),Homo sapiens (Human),81,SLC40A1,,integral component of membrane [GO:0016021]; iron ion transmembrane transporter activity [GO:0005381],IPR009716;
A0A493QP54,A0A493QP54_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),362,HLA-B,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
A0A0S2Z453,A0A0S2Z453_HUMAN,unreviewed,"MADS box transcription enhancer factor 2, polypeptide A (Myocyte enhancer factor 2A), isoform CRA_a (Myocyte enhancer factor 2A isoform 2) (Fragment)",Homo sapiens (Human),507,MEF2A hCG_1993173,,nucleus [GO:0005634]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; positive regulation of transcription by RNA polymerase II [GO:0045944],IPR022102;IPR033896;IPR002100;IPR036879;
H9NRT7,H9NRT7_HUMAN,unreviewed,Cytochrome c oxidase subunit 3,Homo sapiens (Human),261,COX3,,integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646],IPR024791;IPR033945;IPR000298;IPR035973;IPR013833;
Q9H616,Q9H616_HUMAN,unreviewed,"DDX60 protein (cDNA: FLJ22680 fis, clone HSI10688)",Homo sapiens (Human),183,DDX60,,,
A0A0S2Z3V1,A0A0S2Z3V1_HUMAN,unreviewed,"EGF containing fibulin-like extracellular matrix protein 1 isoform 2 (HCG16977, isoform CRA_b) (Fragment)",Homo sapiens (Human),413,EFEMP1 hCG_16977,,collagen-containing extracellular matrix [GO:0062023]; calcium ion binding [GO:0005509]; epidermal growth factor-activated receptor activity [GO:0005006],IPR032973;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR009030;
A0A1V0E3N8,A0A1V0E3N8_HUMAN,unreviewed,HLA-DMB,Homo sapiens (Human),263,HLA-DMB,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR000353;
A0A5C2FXA2,A0A5C2FXA2_HUMAN,unreviewed,IGL c225_light_IGKV3-15_IGKJ1 (Fragment),Homo sapiens (Human),107,,,,
J3QQV3,J3QQV3_HUMAN,unreviewed,Centrosomal protein of 112 kDa (Fragment),Homo sapiens (Human),565,CEP112,,,IPR027831;
A0A023Q2F1,A0A023Q2F1_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
A0A5C2GTU1,A0A5C2GTU1_HUMAN,unreviewed,IG c924_light_IGKV2-30_IGKJ4 (Fragment),Homo sapiens (Human),111,,,,
A8MST6,A8MST6_HUMAN,unreviewed,Centrosomal protein of 78 kDa,Homo sapiens (Human),705,CEP78,,,IPR026212;IPR001611;IPR032675;
A2KBC8,A2KBC8_HUMAN,unreviewed,Anti-TeTox scFv (Fragment),Homo sapiens (Human),238,,,,IPR007110;IPR036179;IPR013783;IPR003599;IPR013106;
A0A410JA83,A0A410JA83_HUMAN,unreviewed,MHC class II antigen,Homo sapiens (Human),255,HLA-DQA1,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR001003;
A0A0B4J1Y4,A0A0B4J1Y4_HUMAN,unreviewed,Gamma-glutamylcyclotransferase,Homo sapiens (Human),51,GGCT,,gamma-glutamylcyclotransferase activity [GO:0003839],IPR017939;IPR013024;
Q71A41,Q71A41_HUMAN,unreviewed,Integrin-associated protein CD47 (Fragment),Homo sapiens (Human),15,,,integrin-mediated signaling pathway [GO:0007229],
B3KVE5,B3KVE5_HUMAN,unreviewed,"cDNA FLJ16456 fis, clone BRAWH3009013, highly similar to AT-hook-containing transcription factor 1 (Fragment)",Homo sapiens (Human),1322,,,,IPR025151;
A0A5C2H0G6,A0A5C2H0G6_HUMAN,unreviewed,IG c426_light_IGKV3-15_IGKJ2 (Fragment),Homo sapiens (Human),107,,,,
C9JZ99,C9JZ99_HUMAN,unreviewed,Serum paraoxonase/lactonase 3,Homo sapiens (Human),245,PON3,,arylesterase activity [GO:0004064],IPR011042;IPR002640;
D7NNQ8,D7NNQ8_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A0B7NX39,A0A0B7NX39_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),366,HLA-C,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
